SID,StreamName/FacilityName,MMI,IC,Wetland,SLOPE,Forest,Ag,SumStreamKM2,AreaKM2,OutELEV,DEV,openwat
S2293,Knowlton Brook,58.20,0.41,10.14,0.01,72.32,8.88,2.28,17.72,114.91,5.48,2.13
S2296,Beaver Meadow Brook,66.17,0.41,1.53,0.02,92.61,0.47,1.64,4.50,49.07,5.36,0.00
S2298,Hungerford Brook,63.90,0.48,4.07,0.02,81.48,4.80,2.15,6.91,12.80,6.69,0.11
S2305,Elbow Brook,81.99,0.67,1.72,0.03,86.95,0.84,1.36,2.33,37.49,7.82,0.00
S2306,Flat Brook,65.79,0.81,6.82,0.02,81.84,2.56,1.31,6.31,27.43,7.01,0.00
S2331,Stonehouse Brook,57.01,0.27,13.68,9.79e-03,76.24,3.42,1.93,14.10,78.64,3.99,0.88
S2336,Wharton Brook,47.81,18.88,3.67,3.82e-03,18.30,3.09,1.33,15.08,12.19,72.82,1.50
S2339,Wintergreen Brook,50.85,4.32,3.76,0.03,72.04,0.50,1.31,5.33,11.88,20.25,3.23
S2341,Wepawaug River,48.03,3.77,3.31,1.9e-03,68.75,1.72,1.46,15.11,63.40,23.62,0.00
S2344,Pequonock River,46.08,11.39,5.35,9.2e-03,48.49,2.12,1.75,36.55,39.62,40.95,0.51
S5,Beaver Pond Brook,30.80,22.00,1.79,9.27e-03,37.98,1.99,1.22,14.41,115.52,55.95,1.58
S7,Blackberry River,57.39,1.24,4.44,3.62e-03,74.26,10.67,1.27,115.49,198.43,6.80,2.36
S21,Branford River,53.90,2.93,5.07,8.59e-03,62.56,4.13,1.08,33.15,8.23,12.02,14.29
S22,Broad Brook,30.58,3.11,3.87,9.83e-03,41.47,37.30,1.39,40.24,16.46,15.56,0.27
S25,Byram River,31.27,4.37,2.62,0.01,60.55,3.79,1.87,66.96,11.88,27.91,2.31
S47,Deep Brook,53.69,8.16,4.90,0.02,50.53,12.59,1.85,13.84,74.07,30.52,0.00
